player_id,player_name,TBF,BIP,EV-OVR,LA-OVR,FB,HR,HH FB,HH HR,TBF/HR,FB%,HHFB%,80thPctEV-OVR,TBF-vLHH,BIP-vLHH,EV-vLHH,LA-vLHH,FB-vLHH,HR-vLHH,HH FB-vLHH,HH HR-vLHH,TBF/HR-vLHH,FB%-vLHH,HHFB%-vLHH,80thPctEV-vLHH,TBF-vRHH,BIP-vRHH,EV-vRHH,LA-vRHH,FB-vRHH,HR-vRHH,HH FB-vRHH,HH HR-vRHH,PA/HR-vRHH,FB%-vRHH,HHFB%-vRHH,80thPctEV-vRHH,EV-Pct,HHFB-Pct
592662,"Ray, Robbie",470,292,89.4451724137931,13.375862068965517,82.0,18.0,41.0,17.0,26.11111111111111,0.2808219178082192,0.1404109589041096,101.2,77.0,49.0,88.55306122448981,14.959183673469388,15.0,4.0,9.0,4.0,19.25,0.30612244897959184,0.1836734693877551,102.66000000000001,393.0,243.0,89.6265560165975,13.053941908713693,67.0,14.0,32.0,13.0,28.071428571428573,0.2757201646090535,0.13168724279835392,101.0,0.7516778523489933,0.785234899328859
571578,"Corbin, Patrick",467,339,90.22751479289941,11.414201183431953,76.0,17.0,46.0,16.0,27.470588235294116,0.22418879056047197,0.13569321533923304,102.5,107.0,79.0,90.21012658227849,8.455696202531646,14.0,3.0,7.0,3.0,35.666666666666664,0.17721518987341772,0.08860759493670886,100.10000000000001,360.0,260.0,90.23281853281853,12.316602316602317,62.0,14.0,39.0,13.0,25.714285714285715,0.23846153846153847,0.15,103.0,0.8791946308724832,0.7583892617449665
543475,"Lyles, Jordan",468,338,88.71656804733728,14.440828402366863,84.0,15.0,47.0,13.0,31.2,0.2485207100591716,0.1390532544378698,101.7,206.0,143.0,89.83916083916084,14.153846153846153,41.0,10.0,29.0,9.0,20.6,0.2867132867132867,0.20279720279720279,102.06,262.0,195.0,87.89333333333333,14.65128205128205,43.0,5.0,18.0,4.0,52.4,0.2205128205128205,0.09230769230769231,101.24000000000001,0.5973154362416108,0.7718120805369127
607536,"Freeland, Kyle",445,335,88.90748502994012,12.751497005988025,85.0,12.0,41.0,12.0,37.083333333333336,0.2537313432835821,0.12238805970149254,101.04,115.0,81.0,87.92222222222222,16.28395061728395,25.0,6.0,13.0,6.0,19.166666666666668,0.30864197530864196,0.16049382716049382,101.2,330.0,254.0,89.22292490118578,11.620553359683795,60.0,6.0,28.0,6.0,55.0,0.23622047244094488,0.11023622047244094,100.62,0.6510067114093959,0.6241610738255033
601713,"Pivetta, Nick",452,305,91.20032786885245,17.79605263157895,83.0,14.0,48.0,12.0,32.285714285714285,0.2721311475409836,0.15737704918032788,101.64,175.0,118.0,90.02033898305085,19.440677966101696,38.0,7.0,18.0,6.0,25.0,0.3220338983050847,0.15254237288135594,100.06,277.0,187.0,91.94491978609626,16.752688172043012,45.0,7.0,30.0,6.0,39.57142857142857,0.24064171122994651,0.16042780748663102,102.4,0.9865771812080537,0.8859060402684564
669302,"Gilbert, Logan",451,319,90.39779179810725,14.138801261829652,90.0,12.0,42.0,11.0,37.583333333333336,0.28213166144200624,0.13166144200626959,101.88000000000001,201.0,137.0,90.33235294117648,14.441176470588236,43.0,3.0,18.0,3.0,67.0,0.31386861313868614,0.13138686131386862,101.5,250.0,182.0,90.44696132596685,13.911602209944752,47.0,9.0,24.0,8.0,27.77777777777778,0.25824175824175827,0.13186813186813187,102.1,0.9060402684563759,0.7181208053691275
506433,"Darvish, Yu",429,299,87.86174496644296,15.738255033557047,96.0,11.0,45.0,9.0,39.0,0.3210702341137124,0.1505016722408027,100.78,230.0,157.0,88.93974358974359,13.967948717948717,43.0,3.0,21.0,2.0,76.66666666666667,0.27388535031847133,0.1337579617834395,100.3,199.0,142.0,86.6774647887324,17.683098591549296,53.0,8.0,24.0,7.0,24.875,0.3732394366197183,0.16901408450704225,100.9,0.3624161073825503,0.8322147651006712
518516,"Bumgarner, Madison",421,315,89.55015873015873,15.40952380952381,92.0,13.0,52.0,13.0,32.38461538461539,0.2920634920634921,0.16507936507936508,101.54,101.0,76.0,86.35000000000001,18.82894736842105,25.0,2.0,15.0,2.0,50.5,0.32894736842105265,0.19736842105263158,97.8,320.0,239.0,90.56778242677825,14.322175732217573,67.0,11.0,37.0,11.0,29.09090909090909,0.2803347280334728,0.15481171548117154,103.0,0.785234899328859,0.912751677852349
450203,"Morton, Charlie",418,257,88.44855967078189,14.292181069958847,74.0,15.0,34.0,14.0,27.866666666666667,0.28793774319066145,0.13229571984435798,101.06,208.0,121.0,89.62252252252253,18.693693693693692,43.0,10.0,18.0,9.0,20.8,0.35537190082644626,0.1487603305785124,101.6,210.0,136.0,87.46136363636363,10.590909090909092,31.0,5.0,16.0,5.0,42.0,0.22794117647058823,0.11764705882352941,100.58,0.5302013422818792,0.7315436241610739
664141,"Brubaker, JT",421,279,88.85833333333333,11.974820143884893,71.0,9.0,34.0,8.0,46.77777777777778,0.25448028673835127,0.12186379928315412,100.1,203.0,135.0,90.72835820895523,16.474074074074075,41.0,5.0,18.0,4.0,40.6,0.3037037037037037,0.13333333333333333,100.2,218.0,144.0,87.09366197183098,7.7272727272727275,30.0,4.0,16.0,4.0,54.5,0.20833333333333334,0.1111111111111111,99.78,0.6241610738255033,0.6174496644295302
641816,"Mahle, Tyler",392,253,87.8509881422925,17.849802371541504,90.0,10.0,43.0,9.0,39.2,0.3557312252964427,0.16996047430830039,99.56,211.0,130.0,85.44538461538461,17.338461538461537,46.0,5.0,19.0,5.0,42.2,0.35384615384615387,0.14615384615384616,98.11999999999999,181.0,123.0,90.39349593495935,18.390243902439025,44.0,5.0,24.0,4.0,36.2,0.35772357723577236,0.1951219512195122,100.86,0.35570469798657717,0.9463087248322147
605135,"Bassitt, Chris",417,280,85.5060606060606,12.522727272727273,72.0,14.0,34.0,14.0,29.785714285714285,0.2571428571428571,0.12142857142857143,99.2,181.0,117.0,86.0359649122807,16.149122807017545,33.0,9.0,15.0,9.0,20.11111111111111,0.28205128205128205,0.1282051282051282,98.28,236.0,163.0,85.10333333333334,9.766666666666667,39.0,5.0,19.0,5.0,47.2,0.2392638036809816,0.1165644171779141,99.94,0.03355704697986577,0.6040268456375839
623167,"Flexen, Chris",427,322,89.08105590062111,18.0,110.0,12.0,45.0,11.0,35.583333333333336,0.3416149068322981,0.13975155279503104,101.88000000000001,194.0,140.0,86.03357142857143,18.557142857142857,44.0,3.0,13.0,3.0,64.66666666666667,0.3142857142857143,0.09285714285714286,100.11999999999999,233.0,182.0,91.42527472527473,17.571428571428573,66.0,9.0,32.0,8.0,25.88888888888889,0.3626373626373626,0.17582417582417584,103.38000000000001,0.6845637583892618,0.7785234899328859
664353,"Urquidy, José",401,305,90.23036303630363,18.264026402640265,94.0,16.0,47.0,15.0,25.0625,0.3081967213114754,0.1540983606557377,101.7,178.0,131.0,87.19461538461537,18.453846153846154,44.0,3.0,15.0,3.0,59.333333333333336,0.33587786259541985,0.11450381679389313,100.0,223.0,174.0,92.51156069364161,18.121387283236995,50.0,13.0,32.0,12.0,17.153846153846153,0.28735632183908044,0.1839080459770115,102.96000000000001,0.8859060402684564,0.8557046979865772
668881,"Greene, Hunter",390,233,89.9931330472103,20.510729613733904,92.0,23.0,36.0,18.0,16.956521739130434,0.3948497854077253,0.15450643776824036,102.28,193.0,108.0,89.30277777777779,21.055555555555557,45.0,10.0,15.0,8.0,19.3,0.4166666666666667,0.1388888888888889,101.88000000000001,197.0,125.0,90.5896,20.04,47.0,13.0,21.0,10.0,15.153846153846153,0.376,0.168,102.98,0.8590604026845637,0.8657718120805369
680686,"Gray, Josiah",392,241,87.67489539748954,22.640167364016737,80.0,21.0,40.0,20.0,18.666666666666668,0.33195020746887965,0.16597510373443983,101.1,174.0,104.0,89.26862745098039,26.372549019607842,38.0,13.0,24.0,12.0,13.384615384615385,0.36538461538461536,0.23076923076923078,101.68,218.0,137.0,86.48832116788321,19.861313868613138,42.0,8.0,16.0,8.0,27.25,0.30656934306569344,0.11678832116788321,100.28,0.2953020134228188,0.9194630872483222
663474,"McKenzie, Triston",390,265,90.16641509433961,20.173584905660377,90.0,15.0,52.0,15.0,26.0,0.33962264150943394,0.19622641509433963,101.6,158.0,94.0,90.96489361702129,22.54255319148936,37.0,5.0,20.0,5.0,31.6,0.39361702127659576,0.2127659574468085,101.53999999999999,232.0,171.0,89.72748538011696,18.871345029239766,53.0,10.0,32.0,10.0,23.2,0.30994152046783624,0.1871345029239766,101.6,0.87248322147651,0.9865771812080537
640455,"Manaea, Sean",415,278,89.21877256317688,15.844765342960288,86.0,14.0,37.0,12.0,29.642857142857142,0.30935251798561153,0.13309352517985612,101.08,110.0,74.0,86.86756756756756,15.932432432432432,23.0,3.0,6.0,3.0,36.666666666666664,0.3108108108108108,0.08108108108108109,98.44,305.0,204.0,90.07586206896552,15.812807881773399,63.0,11.0,31.0,9.0,27.727272727272727,0.3088235294117647,0.15196078431372548,102.22,0.7248322147651006,0.738255033557047
542881,"Anderson, Tyler",384,282,85.19087591240876,16.17153284671533,78.0,9.0,35.0,9.0,42.666666666666664,0.2765957446808511,0.12411347517730496,98.14,76.0,52.0,80.80784313725489,8.823529411764707,10.0,2.0,6.0,2.0,38.0,0.19230769230769232,0.11538461538461539,97.8,308.0,230.0,86.19327354260089,17.85201793721973,68.0,7.0,29.0,7.0,44.0,0.2956521739130435,0.12608695652173912,98.7,0.020134228187919462,0.6375838926174496
668676,"Plesac, Zach",401,305,89.96875,12.019736842105264,83.0,12.0,47.0,11.0,33.416666666666664,0.2721311475409836,0.1540983606557377,102.1,197.0,155.0,90.01225806451613,15.754838709677419,47.0,8.0,25.0,7.0,24.625,0.3032258064516129,0.16129032258064516,101.44,204.0,150.0,89.92348993288591,8.134228187919463,36.0,4.0,22.0,4.0,51.0,0.24,0.14666666666666667,102.7,0.8456375838926175,0.8557046979865772
543294,"Hendricks, Kyle",355,262,87.105,16.134615384615383,73.0,15.0,34.0,14.0,23.666666666666668,0.2786259541984733,0.1297709923664122,100.2,191.0,136.0,89.6511111111111,18.644444444444446,46.0,12.0,23.0,11.0,15.916666666666666,0.3382352941176471,0.16911764705882354,101.34,164.0,126.0,84.3552,13.424,27.0,3.0,11.0,3.0,54.666666666666664,0.21428571428571427,0.0873015873015873,98.96000000000001,0.19463087248322147,0.697986577181208
641778,"Lauer, Eric",398,263,87.98702290076335,17.9467680608365,80.0,19.0,39.0,17.0,20.94736842105263,0.3041825095057034,0.1482889733840304,100.3,58.0,35.0,86.14,9.314285714285715,10.0,2.0,3.0,2.0,29.0,0.2857142857142857,0.08571428571428572,102.32000000000001,340.0,228.0,88.27180616740088,19.271929824561404,70.0,17.0,36.0,15.0,20.0,0.30701754385964913,0.15789473684210525,100.28,0.40268456375838924,0.8053691275167785
608337,"Giolito, Lucas",375,241,88.98464730290456,15.232365145228215,81.0,16.0,36.0,15.0,23.4375,0.3360995850622407,0.14937759336099585,101.9,153.0,88.0,86.84772727272728,15.261363636363637,32.0,3.0,12.0,3.0,51.0,0.36363636363636365,0.13636363636363635,100.18,222.0,153.0,90.21372549019608,15.215686274509803,49.0,13.0,24.0,12.0,17.076923076923077,0.3202614379084967,0.1568627450980392,103.1,0.6711409395973155,0.8187919463087249
608344,"Irvin, Cole",384,302,89.36059602649007,14.897350993377483,87.0,11.0,47.0,11.0,34.90909090909091,0.28807947019867547,0.15562913907284767,100.5,83.0,67.0,86.65820895522388,12.17910447761194,15.0,2.0,7.0,2.0,41.5,0.22388059701492538,0.1044776119402985,98.8,301.0,235.0,90.13106382978724,15.672340425531916,72.0,9.0,40.0,9.0,33.44444444444444,0.30638297872340425,0.1702127659574468,100.74000000000001,0.738255033557047,0.8791946308724832
622663,"Severino, Luis",349,225,88.14954954954955,10.547085201793722,61.0,14.0,33.0,13.0,24.928571428571427,0.27111111111111114,0.14666666666666667,100.36000000000001,146.0,111.0,88.77999999999999,14.236363636363636,36.0,8.0,21.0,8.0,18.25,0.32432432432432434,0.1891891891891892,99.88,203.0,114.0,87.53035714285714,6.95575221238938,25.0,6.0,12.0,5.0,33.833333333333336,0.21929824561403508,0.10526315789473684,101.0,0.4429530201342282,0.7986577181208053
677651,"Garcia, Luis",359,240,88.45864978902954,17.206751054852322,77.0,15.0,40.0,13.0,23.933333333333334,0.32083333333333336,0.16666666666666666,100.16000000000001,168.0,111.0,87.84454545454545,16.19090909090909,34.0,7.0,16.0,5.0,24.0,0.3063063063063063,0.14414414414414414,99.92,191.0,129.0,88.99055118110236,18.086614173228348,43.0,8.0,24.0,8.0,23.875,0.3333333333333333,0.18604651162790697,100.53999999999999,0.5436241610738255,0.9261744966442953
446372,"Kluber, Corey",384,281,86.86975088967972,18.508896797153024,77.0,10.0,37.0,10.0,38.4,0.27402135231316727,0.13167259786476868,100.4,175.0,126.0,86.3484126984127,19.666666666666668,35.0,3.0,14.0,3.0,58.333333333333336,0.2777777777777778,0.1111111111111111,99.9,209.0,155.0,87.29354838709678,17.56774193548387,42.0,7.0,23.0,7.0,29.857142857142858,0.2709677419354839,0.14838709677419354,100.94,0.174496644295302,0.7248322147651006
596295,"Gomber, Austin",382,288,87.20592334494773,11.456445993031359,85.0,14.0,37.0,13.0,27.285714285714285,0.2951388888888889,0.1284722222222222,100.3,87.0,63.0,87.20645161290322,18.016129032258064,20.0,1.0,6.0,1.0,87.0,0.31746031746031744,0.09523809523809523,99.2,295.0,225.0,87.20577777777777,9.648888888888889,65.0,13.0,31.0,12.0,22.692307692307693,0.28888888888888886,0.13777777777777778,101.14,0.2214765100671141,0.6845637583892618
605200,"Davies, Zach",330,240,85.8325,13.645833333333334,66.0,10.0,30.0,9.0,33.0,0.275,0.125,100.4,163.0,132.0,84.52878787878787,11.431818181818182,33.0,4.0,17.0,4.0,40.75,0.25,0.12878787878787878,97.1,167.0,108.0,87.42592592592592,16.35185185185185,33.0,6.0,13.0,5.0,27.833333333333332,0.3055555555555556,0.12037037037037036,101.26,0.040268456375838924,0.6543624161073825
