Team,H/A,Date,Time,Helper,Stadium,Weather Factor,Park RHH,Park LHH,Pitcher,Pitcher H,Opponent,Opp Pitcher,Opp Throw
PHI,Away,6/21/2022,N,PHI44733,Globe Life Field,0.981,0.96,0.95,Kyle Gibson,R,TEX,Martin Perez,L
TEX,Home,6/21/2022,N,TEX44733,Globe Life Field,0.981,0.96,0.95,Martin Perez,L,PHI,Kyle Gibson,R
LAD,Away,6/21/2022,N,LAD44733,Great American BP,1.046,1.3,1.36,Tony Gonsolin,R,CIN,Tyler Mahle,R
CIN,Home,6/21/2022,N,CIN44733,Great American BP,1.046,1.3,1.36,Tyler Mahle,R,LAD,Tony Gonsolin,R
TOR,Away,6/21/2022,N,TOR44733,Guaranteed Rate Fld,1.096,1.12,1.15,Kevin Gausman,R,CHW,Dylan Cease,R
CHW,Home,6/21/2022,N,CHW44733,Guaranteed Rate Fld,1.096,1.12,1.15,Dylan Cease,R,TOR,Kevin Gausman,R
MIA,Home,6/21/2022,N,MIA44733,LoanDepot Park,1.011,0.72,0.77,Daniel Castano,L,COL,Ryan Feltner,R
COL,Away,6/21/2022,N,COL44733,LoanDepot Park,1.011,0.72,0.77,Ryan Feltner,R,MIA,Daniel Castano,L
HOU,Home,6/21/2022,N,HOU44733,Minute Maid Park,0.993,1.12,1.07,Jose Urquidy,R,NYM,Trevor Williams,R
NYM,Away,6/21/2022,N,NYM44733,Minute Maid Park,0.993,1.12,1.07,Trevor Williams,R,HOU,Jose Urquidy,R
OAK,Home,6/21/2022,N,OAK44733,Oakland Coliseum,1.124,0.82,0.73,James Kaprielian,R,SEA,Marco Gonzales,L
SEA,Away,6/21/2022,N,SEA44733,Oakland Coliseum,1.124,0.82,0.73,Marco Gonzales,L,OAK,James Kaprielian,R
WSN,Away,6/21/2022,N,WSN44733,Oriole Park,1.123,1.2,1.11,Erick Fedde,R,BAL,Jordan Lyles,R
BAL,Home,6/21/2022,N,BAL44733,Oriole Park,1.123,1.2,1.11,Jordan Lyles,R,WSN,Erick Fedde,R
ARI,Away,6/21/2022,N,ARI44733,Petco Park,1.01,0.98,0.92,Zac Gallen,R,SDP,Sean Manaea,L
SDP,Home,6/21/2022,N,SDP44733,Petco Park,1.01,0.98,0.92,Sean Manaea,L,ARI,Zac Gallen,R
CHC,Away,6/21/2022,N,CHC44733,PNC Park,0.841,0.8,0.93,Matt Swarmer,R,PIT,Roansy Contreras,R
PIT,Home,6/21/2022,N,PIT44733,PNC Park,0.841,0.8,0.93,Roansy Contreras,R,CHC,Matt Swarmer,R
CLE,Away,6/21/2022,N,CLE44733,Target Field,0.955,0.86,0.89,Aaron Civale,R,MIN,Joe Ryan,R
MIN,Home,6/21/2022,N,MIN44733,Target Field,0.955,0.86,0.89,Joe Ryan,R,CLE,Aaron Civale,R
TBR,Home,6/21/2022,N,TBR44733,Tropicana Field,0.995,0.91,0.96,Jalen Beeks,L,NYY,Nestor Cortes,L
NYY,Away,6/21/2022,N,NYY44733,Tropicana Field,0.995,0.91,0.96,Nestor Cortes,L,TBR,Jalen Beeks,L
ATL,Home,6/21/2022,N,ATL44733,Truist Park,1.064,0.94,0.92,Spencer Strider,R,SFG,Anthony DeSclafani,R
SFG,Away,6/21/2022,N,SFG44733,Truist Park,1.064,0.94,0.92,Anthony DeSclafani,R,ATL,Spencer Strider,R
MIL,Home,6/22/2022,N,MIL44734,American Family Fld,0.988,1.14,1.08,Eric Lauer,L,STL,Adam Wainwright,R
STL,Away,6/22/2022,N,STL44734,American Family Fld,0.988,1.14,1.08,Adam Wainwright,R,MIL,Eric Lauer,L
LAA,Home,6/22/2022,N,LAA44734,Angel Stadium,0.987,1.04,1.29,Shohei Othani,R,KCR,Daniel Lynch,L
KCR,Away,6/22/2022,N,KCR44734,Angel Stadium,0.987,1.04,1.29,Daniel Lynch,L,LAA,Shohei Othani,R
BOS,Home,6/22/2022,N,BOS44734,Fenway Park,1.272,0.98,0.84,Michael Wacha,R,DET,Tarik Skubal,L
DET,Away,6/22/2022,N,DET44734,Fenway Park,1.272,0.98,0.84,Tarik Skubal,L,BOS,Michael Wacha,R
PHI,Away,6/22/2022,D,PHI44734,Globe Life Field,0.981,0.96,0.95,Zack Wheeler,R,TEX,Jon Gray,R
TEX,Home,6/22/2022,D,TEX44734,Globe Life Field,0.981,0.96,0.95,Jon Gray,R,PHI,Zack Wheeler,R
LAD,Away,6/22/2022,N,LAD44734,Great American BP,1.01,1.3,1.36,Tyler Anderson,L,CIN,Luis Castillo,R
CIN,Home,6/22/2022,N,CIN44734,Great American BP,1.01,1.3,1.36,Luis Castillo,R,LAD,Tyler Anderson,L
TOR,Away,6/22/2022,D,TOR44734,Guaranteed Rate Fld,1.048,1.12,1.15,Ross Stripling,R,CHW,Lucas Giolito,R
CHW,Home,6/22/2022,D,CHW44734,Guaranteed Rate Fld,1.048,1.12,1.15,Lucas Giolito,R,TOR,Ross Stripling,R
MIA,Home,6/22/2022,N,MIA44734,LoanDepot Park,1.011,0.72,0.77,Pablo Lopez,R,COL,Chad Kuhl,R
COL,Away,6/22/2022,N,COL44734,LoanDepot Park,1.011,0.72,0.77,Chad Kuhl,R,MIA,Pablo Lopez,R
HOU,Home,6/22/2022,D,HOU44734,Minute Maid Park,0.993,1.12,1.07,Luis Garcia,R,NYM,Carlos Carrasco,R
NYM,Away,6/22/2022,D,NYM44734,Minute Maid Park,0.993,1.12,1.07,Carlos Carrasco,R,HOU,Luis Garcia,R
OAK,Home,6/22/2022,N,OAK44734,Oakland Coliseum,1.124,0.82,0.73,Paul Blackburn,R,SEA,George Kirby,R
SEA,Away,6/22/2022,N,SEA44734,Oakland Coliseum,1.124,0.82,0.73,George Kirby,R,OAK,Paul Blackburn,R
WSN,Away,6/22/2022,N,WSN44734,Oriole Park,1.043,1.2,1.11,Patrick Corbin,L,BAL,Tyler Wells,R
BAL,Home,6/22/2022,N,BAL44734,Oriole Park,1.043,1.2,1.11,Tyler Wells,R,WSN,Patrick Corbin,L
ARI,Away,6/22/2022,D,ARI44734,Petco Park,0.93,0.98,0.92,Madison Bumgarner,L,SDP,Mike Clevinger,R
SDP,Home,6/22/2022,D,SDP44734,Petco Park,0.93,0.98,0.92,Mike Clevinger,R,ARI,Madison Bumgarner,L
CHC,Away,6/22/2022,N,CHC44734,PNC Park,1.045,0.8,0.93,Jerad Eickhoff,R,PIT,Jerad Eickhoff,R
PIT,Home,6/22/2022,N,PIT44734,PNC Park,1.045,0.8,0.93,Keegan Thompson,R,CHC,Keegan Thompson,R
CLE,Away,6/22/2022,N,CLE44734,Target Field,1.173,0.86,0.89,Triston McKenzie,R,MIN,Sonny Gray,R
MIN,Home,6/22/2022,N,MIN44734,Target Field,1.173,0.86,0.89,Sonny Gray,R,CLE,Triston McKenzie,R
TBR,Home,6/22/2022,N,TBR44734,Tropicana Field,0.995,0.91,0.96,Shane Baz,R,NYY,Jordan Montgomery,L
NYY,Away,6/22/2022,N,NYY44734,Tropicana Field,0.995,0.91,0.96,Jordan Montgomery,L,TBR,Shane Baz,R
ATL,Home,6/22/2022,N,ATL44734,Truist Park,1.033,0.94,0.92,Charlie Morton,R,SFG,Carlos Rodon,L
SFG,Away,6/22/2022,N,SFG44734,Truist Park,1.033,0.94,0.92,Carlos Rodon,L,ATL,Charlie Morton,R
MIL,Home,6/23/2022,D,MIL44735,American Family Fld,0.988,1.14,1.08,Jason Alexander,R,STL,Dakota Hudson,R
STL,Away,6/23/2022,D,STL44735,American Family Fld,0.988,1.14,1.08,Dakota Hudson,R,MIL,Jason Alexander,R
LAD,Away,6/23/2022,D,LAD44735,Great American BP,1.025,1.3,1.36,Clayton Kershaw,L,CIN,Hunter Greene,R
CIN,Home,6/23/2022,D,CIN44735,Great American BP,1.025,1.3,1.36,Hunter Greene,R,LAD,Clayton Kershaw,L
BAL,Away,6/23/2022,N,BAL44735,Guaranteed Rate Fld,0.971,1.12,1.15,Dean Kremer,R,CHW,Johnny Cueto,R
CHW,Home,6/23/2022,N,CHW44735,Guaranteed Rate Fld,0.971,1.12,1.15,Johnny Cueto,R,BAL,Dean Kremer,R
MIA,Home,6/23/2022,D,MIA44735,LoanDepot Park,1.011,0.72,0.77,Braxton Garrett,L,COL,Kyle Freeland,L
COL,Away,6/23/2022,D,COL44735,LoanDepot Park,1.011,0.72,0.77,Kyle Freeland,L,MIA,Braxton Garrett,L
OAK,Home,6/23/2022,D,OAK44735,Oakland Coliseum,1.124,0.82,0.73,Frankie Montas,R,SEA,Robbie Ray,L
SEA,Away,6/23/2022,D,SEA44735,Oakland Coliseum,1.124,0.82,0.73,Robbie Ray,L,OAK,Frankie Montas,R
SDP,Home,6/23/2022,N,SDP44735,Petco Park,1.035,0.98,0.92,Joe Musgrove,R,PHI,Ranger Suarez,L
PHI,Away,6/23/2022,N,PHI44735,Petco Park,1.035,0.98,0.92,Ranger Suarez,L,SDP,Joe Musgrove,R
CHC,Away,6/23/2022,D,CHC44735,PNC Park,0.999,0.8,0.93,Justin Steele,L,PIT,Jose Quintana,L
PIT,Home,6/23/2022,D,PIT44735,PNC Park,0.999,0.8,0.93,Jose Quintana,L,CHC,Justin Steele,L
CLE,Away,6/23/2022,D,CLE44735,Target Field,0.941,0.86,0.89,Zach Plesac,R,MIN,Devin Smeltzer,L
MIN,Home,6/23/2022,D,MIN44735,Target Field,0.941,0.86,0.89,Devin Smeltzer,L,CLE,Zach Plesac,R
ATL,Home,6/23/2022,D,ATL44735,Truist Park,1.064,0.94,0.92,Kyle Wright,R,SFG,Alex Wood,L
SFG,Away,6/23/2022,D,SFG44735,Truist Park,1.064,0.94,0.92,Alex Wood,L,ATL,Kyle Wright,R
HOU,Away,6/23/2022,N,HOU44735,Yankee Stadium,1.009,1.02,1.1,Framber Valdez,L,NYY,Jameson Taillon,R
NYY,Home,6/23/2022,N,NYY44735,Yankee Stadium,1.009,1.02,1.1,Jameson Taillon,R,HOU,Framber Valdez,L
TOR,Away,6/24/2022,N,TOR44736,American Family Fld,0.988,1.14,1.08,Alek Manoah,R,MIL,Adrian Houser,R
MIL,Home,6/24/2022,N,MIL44736,American Family Fld,0.988,1.14,1.08,Adrian Houser,R,TOR,Alek Manoah,R
LAA,Home,6/24/2022,N,LAA44736,Angel Stadium,0.987,1.04,1.29,Michael Lorenzen,R,SEA,Chris Flexen,R
SEA,Away,6/24/2022,N,SEA44736,Angel Stadium,0.987,1.04,1.29,Chris Flexen,R,LAA,Michael Lorenzen,R
STL,Home,6/24/2022,N,STL44736,Busch Stadium,0.936,0.84,0.93,Neil Pallante,R,CHC,Kyle Hendricks,R
CHC,Away,6/24/2022,N,CHC44736,Busch Stadium,0.936,0.84,0.93,Kyle Hendricks,R,STL,Neil Pallante,R
ARI,Home,6/24/2022,N,ARI44736,Chase Field,0.983,0.87,0.97,Merrill Kelly,R,DET,Rony Garcia,R
DET,Away,6/24/2022,N,DET44736,Chase Field,0.983,0.87,0.97,Rony Garcia,R,ARI,Merrill Kelly,R
WSN,Away,6/24/2022,N,WSN44736,Globe Life Field,0.981,0.96,0.95,Paolo Espino,R,TEX,Dane Dunning,R
TEX,Home,6/24/2022,N,TEX44736,Globe Life Field,0.981,0.96,0.95,Dane Dunning,R,WSN,Paolo Espino,R
BAL,Away,6/24/2022,N,BAL44736,Guaranteed Rate Fld,0.971,1.12,1.15,Austin Voth,R,CHW,Michael Kopech,R
CHW,Home,6/24/2022,N,CHW44736,Guaranteed Rate Fld,0.971,1.12,1.15,Michael Kopech,R,BAL,Austin Voth,R
OAK,Away,6/24/2022,N,OAK44736,Kauffman Stadium,1.158,0.84,0.76,Cole Irvin,L,KCR,Zack Greinke,R
KCR,Home,6/24/2022,N,KCR44736,Kauffman Stadium,1.158,0.84,0.76,Zack Greinke,R,OAK,Cole Irvin,L
MIA,Home,6/24/2022,N,MIA44736,LoanDepot Park,1.011,0.72,0.77,Sandy Alcantara,R,NYM,Taijuan Walker,R
NYM,Away,6/24/2022,N,NYM44736,LoanDepot Park,1.011,0.72,0.77,Taijuan Walker,R,MIA,Sandy Alcantara,R
SFG,Home,6/24/2022,N,SFG44736,Oracle Park,1.04,0.79,0.73,Alex Cobb,R,CIN,Graham Ashcraft,R
CIN,Away,6/24/2022,N,CIN44736,Oracle Park,1.04,0.79,0.73,Graham Ashcraft,R,SFG,Alex Cobb,R
SDP,Home,6/24/2022,N,SDP44736,Petco Park,1.035,0.98,0.92,MacKenzie Gore,L,PHI,Aaron Nola,R
PHI,Away,6/24/2022,N,PHI44736,Petco Park,1.035,0.98,0.92,Aaron Nola,R,SDP,MacKenzie Gore,L
CLE,Home,6/24/2022,N,CLE44736,Progressive Field,1.033,0.98,1.08,Cal Quantrill,R,BOS,Nick Pivetta,R
BOS,Away,6/24/2022,N,BOS44736,Progressive Field,1.033,0.98,1.08,Nick Pivetta,R,CLE,Cal Quantrill,R
COL,Away,6/24/2022,N,COL44736,Target Field,0.941,0.86,0.89,German Marquez,R,MIN,Dylan Bundy,R
MIN,Home,6/24/2022,N,MIN44736,Target Field,0.941,0.86,0.89,Dylan Bundy,R,COL,German Marquez,R
PIT,Away,6/24/2022,N,PIT44736,Tropicana Field,0.995,0.91,0.96,Mitch Keller,R,TBR,Jeffrey Springs,L
TBR,Home,6/24/2022,N,TBR44736,Tropicana Field,0.995,0.91,0.96,Jeffrey Springs,L,PIT,Mitch Keller,R
ATL,Home,6/24/2022,N,ATL44736,Truist Park,1.064,0.94,0.92,Ian Anderson,R,LAD,Julio Urias,L
LAD,Away,6/24/2022,N,LAD44736,Truist Park,1.064,0.94,0.92,Julio Urias,L,ATL,Ian Anderson,R
HOU,Away,6/24/2022,N,HOU44736,Yankee Stadium,1.009,1.02,1.1,Justin Verlander,R,NYY,Luis Severino,R
NYY,Home,6/24/2022,N,NYY44736,Yankee Stadium,1.009,1.02,1.1,Luis Severino,R,HOU,Justin Verlander,R
TOR,Away,6/25/2022,D,TOR44737,American Family Fld,0.988,1.14,1.08,Yusei Kikuchi,L,MIL,Corbin Burnes,R
MIL,Home,6/25/2022,D,MIL44737,American Family Fld,0.988,1.14,1.08,Corbin Burnes,R,TOR,Yusei Kikuchi,L
LAA,Home,6/25/2022,N,LAA44737,Angel Stadium,0.987,1.04,1.29,Patrick Sandoval,L,SEA,Logan Gilbert,R
SEA,Away,6/25/2022,N,SEA44737,Angel Stadium,0.987,1.04,1.29,Logan Gilbert,R,LAA,Patrick Sandoval,L
STL,Home,6/25/2022,D,STL44737,Busch Stadium,1.056,0.84,0.93,Miles Mikolas,R,CHC,Adrian Sampson,R
CHC,Away,6/25/2022,D,CHC44737,Busch Stadium,1.056,0.84,0.93,Adrian Sampson,R,STL,Miles Mikolas,R
ARI,Home,6/25/2022,N,ARI44737,Chase Field,0.983,0.87,0.97,Zach Davies,R,DET,Alex Faedo,R
DET,Away,6/25/2022,N,DET44737,Chase Field,0.983,0.87,0.97,Alex Faedo,R,ARI,Zach Davies,R
WSN,Away,6/25/2022,D,WSN44737,Globe Life Field,0.981,0.96,0.95,Josiah Gray,R,TEX,Brett Martin,L
TEX,Home,6/25/2022,D,TEX44737,Globe Life Field,0.981,0.96,0.95,Brett Martin,L,WSN,Josiah Gray,R
BAL,Away,6/25/2022,D,BAL44737,Guaranteed Rate Fld,0.893,1.12,1.15,Spenser Watkins,R,CHW,Lance Lynn,R
CHW,Home,6/25/2022,D,CHW44737,Guaranteed Rate Fld,0.893,1.12,1.15,Lance Lynn,R,BAL,Spenser Watkins,R
OAK,Away,6/25/2022,D,OAK44737,Kauffman Stadium,1.106,0.84,0.76,Jared Koenig,L,KCR,Brad Keller,R
KCR,Home,6/25/2022,D,KCR44737,Kauffman Stadium,1.106,0.84,0.76,Brad Keller,R,OAK,Jared Koenig,L
MIA,Home,6/25/2022,D,MIA44737,LoanDepot Park,1.011,0.72,0.77,Trevor Rogers,L,NYM,Chris Bassitt,R
NYM,Away,6/25/2022,D,NYM44737,LoanDepot Park,1.011,0.72,0.77,Chris Bassitt,R,MIA,Trevor Rogers,L
SFG,Home,6/25/2022,D,SFG44737,Oracle Park,0.998,0.79,0.73,Logan Webb,R,CIN,Mike Minor,L
CIN,Away,6/25/2022,D,CIN44737,Oracle Park,0.998,0.79,0.73,Mike Minor,L,SFG,Logan Webb,R
SDP,Home,6/25/2022,N,SDP44737,Petco Park,1.035,0.98,0.92,Blake Snell,L,PHI,Zach Eflin,R
PHI,Away,6/25/2022,N,PHI44737,Petco Park,1.035,0.98,0.92,Zach Eflin,R,SDP,Blake Snell,L
CLE,Home,6/25/2022,N,CLE44737,Progressive Field,0.89,0.98,1.08,Shane Bieber,R,BOS,Josh Winckowski,R
BOS,Away,6/25/2022,N,BOS44737,Progressive Field,0.89,0.98,1.08,Josh Winckowski,R,CLE,Shane Bieber,R
COL,Away,6/25/2022,D,COL44737,Target Field,0.955,0.86,0.89,Antonio Senzatela,R,MIN,Chris Archer,R
MIN,Home,6/25/2022,D,MIN44737,Target Field,0.955,0.86,0.89,Chris Archer,R,COL,Antonio Senzatela,R
PIT,Away,6/25/2022,D,PIT44737,Tropicana Field,0.995,0.91,0.96,JT Brubaker,R,TBR,Corey Kluber,R
TBR,Home,6/25/2022,D,TBR44737,Tropicana Field,0.995,0.91,0.96,Corey Kluber,R,PIT,JT Brubaker,R
ATL,Home,6/25/2022,N,ATL44737,Truist Park,1.064,0.94,0.92,Max Fried,L,LAD,Mitch White,R
LAD,Away,6/25/2022,N,LAD44737,Truist Park,1.064,0.94,0.92,Mitch White,R,ATL,Max Fried,L
HOU,Away,6/25/2022,D,HOU44737,Yankee Stadium,1.032,1.02,1.1,Cristian Javier,R,NYY,Gerrit Cole,R
NYY,Home,6/25/2022,D,NYY44737,Yankee Stadium,1.032,1.02,1.1,Gerrit Cole,R,HOU,Cristian Javier,R
TOR,Away,6/26/2022,D,TOR44738,American Family Fld,0.988,1.14,1.08,Jose Berrios,R,MIL,Chi Chi Gonzalez,R
MIL,Home,6/26/2022,D,MIL44738,American Family Fld,0.988,1.14,1.08,Chi Chi Gonzalez,R,TOR,Jose Berrios,R
LAA,Home,6/26/2022,D,LAA44738,Angel Stadium,0.987,1.04,1.29,Jose Suarez,L,SEA,Marco Gonzales,L
SEA,Away,6/26/2022,D,SEA44738,Angel Stadium,0.987,1.04,1.29,Marco Gonzales,L,LAA,Jose Suarez,L
STL,Home,6/26/2022,D,STL44738,Busch Stadium,0.916,0.84,0.93,Jack Flaherty,R,CHC,Alec Mills,R
CHC,Away,6/26/2022,D,CHC44738,Busch Stadium,0.916,0.84,0.93,Alec Mills,R,STL,Jack Flaherty,R
ARI,Home,6/26/2022,D,ARI44738,Chase Field,0.983,0.87,0.97,Dallas Keuchel,L,DET,Beau Brieske,R
DET,Away,6/26/2022,D,DET44738,Chase Field,0.983,0.87,0.97,Beau Brieske,R,ARI,Dallas Keuchel,L
WSN,Away,6/26/2022,D,WSN44738,Globe Life Field,0.981,0.96,0.95,Jackson Tetreault,R,TEX,Glenn Otto,R
TEX,Home,6/26/2022,D,TEX44738,Globe Life Field,0.981,0.96,0.95,Glenn Otto,R,WSN,Jackson Tetreault,R
BAL,Away,6/26/2022,D,BAL44738,Guaranteed Rate Fld,1.013,1.12,1.15,Jordan Lyles,R,CHW,Dylan Cease,R
CHW,Home,6/26/2022,D,CHW44738,Guaranteed Rate Fld,1.013,1.12,1.15,Dylan Cease,R,BAL,Jordan Lyles,R
OAK,Away,6/26/2022,D,OAK44738,Kauffman Stadium,0.861,0.84,0.76,James Kaprielian,R,KCR,Brady Singer,R
KCR,Home,6/26/2022,D,KCR44738,Kauffman Stadium,0.861,0.84,0.76,Brady Singer,R,OAK,James Kaprielian,R
MIA,Home,6/26/2022,D,MIA44738,LoanDepot Park,1.011,0.72,0.77,Daniel Castano,L,NYM,David Peterson,L
NYM,Away,6/26/2022,D,NYM44738,LoanDepot Park,1.011,0.72,0.77,David Peterson,L,MIA,Daniel Castano,L
SFG,Home,6/26/2022,D,SFG44738,Oracle Park,1.04,0.79,0.73,Anthony DeSclafani,R,CIN,Tyler Mahle,R
CIN,Away,6/26/2022,D,CIN44738,Oracle Park,1.04,0.79,0.73,Tyler Mahle,R,SFG,Anthony DeSclafani,R
SDP,Home,6/26/2022,D,SDP44738,Petco Park,1.035,0.98,0.92,Yu Darvish,R,PHI,Kyle Gibson,R
PHI,Away,6/26/2022,D,PHI44738,Petco Park,1.035,0.98,0.92,Kyle Gibson,R,SDP,Yu Darvish,R
CLE,Home,6/26/2022,D,CLE44738,Progressive Field,1.216,0.98,1.08,Aaron Civale,R,BOS,Rich Hill,L
BOS,Away,6/26/2022,D,BOS44738,Progressive Field,1.216,0.98,1.08,Rich Hill,L,CLE,Aaron Civale,R
COL,Away,6/26/2022,D,COL44738,Target Field,0.955,0.86,0.89,Ryan Feltner,R,MIN,Joe Ryan,R
MIN,Home,6/26/2022,D,MIN44738,Target Field,0.955,0.86,0.89,Joe Ryan,R,COL,Ryan Feltner,R
PIT,Away,6/26/2022,D,PIT44738,Tropicana Field,0.995,0.91,0.96,Roansy Contreras,R,TBR,Shane McClanahan,L
TBR,Home,6/26/2022,D,TBR44738,Tropicana Field,0.995,0.91,0.96,Shane McClanahan,L,PIT,Roansy Contreras,R
ATL,Home,6/26/2022,D,ATL44738,Truist Park,1.064,0.94,0.92,Spencer Strider,R,LAD,Tony Gonsolin,R
LAD,Away,6/26/2022,D,LAD44738,Truist Park,1.064,0.94,0.92,Tony Gonsolin,R,ATL,Spencer Strider,R
HOU,Away,6/26/2022,D,HOU44738,Yankee Stadium,1.009,1.02,1.1,Jose Urquidy,R,NYY,Nestor Cortes,L
NYY,Home,6/26/2022,D,NYY44738,Yankee Stadium,1.009,1.02,1.1,Nestor Cortes,L,HOU,Jose Urquidy,R
DET,Home,6/2/2022,D,DET44714,Comerica Park,1.004,0.96,0.88,Alex Faedo,R,MIN,Chris Archer,R
MIN,Away,6/2/2022,D,MIN44714,Comerica Park,1.004,0.96,0.88,Chris Archer,R,DET,Alex Faedo,R
